,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,DISK SIZE,Price
84,Infinix,Windows,Others,16,Intel,Others,1,,512,37990.0
85,APPLE,Mac,,8,Others,Others,1,,512,139990.0
86,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,35590.0
87,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,150990.0
88,Lenovo,Windows,DDR4,4,Intel,Others,1,15.6,256,29990.0
89,Lenovo,Others,DDR4,4,Intel,Others,1,,128,19490.0
90,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,256,36990.0
91,Lenovo,Windows,DDR4,8,AMD,AMD,1,15.6,512,73490.0
92,ASUS,Windows,DDR4,8,AMD,Others,1,15.6,1024,52990.0
93,HP,Windows,DDR4,8,Intel,Others,1,,512,41890.0
94,DELL,Windows,DDR4,8,Intel,Intel,1,15.6,256,30428.0
95,acer,Windows,DDR4,8,Intel,Others,1,,512,34990.0
96,Lenovo,Others,DDR4,4,Intel,Others,1,,128,19490.0
97,Lenovo,Windows,DDR4,4,Intel,Others,1,15.6,256,29990.0
98,APPLE,Mac,DDR4,8,Others,Others,1,14.0,256,88990.0
99,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,256,36990.0
100,MSI,Windows,DDR4,8,Intel,Others,2,,512,65990.0
101,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,512,33490.0
102,HP,Windows,DDR4,16,Intel,Others,1,14.0,512,60990.0
103,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,512,39990.0
104,HP,Windows,DDR4,8,AMD,AMD,1,15.6,512,46990.0
105,ASUS,Windows,DDR4,16,AMD,AMD,1,,512,59990.0
106,MSI,Windows,DDR4,16,Intel,Others,2,15.6,1024,114990.0
107,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,512,39990.0
108,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,1024,119990.0
109,Infinix,Windows,Others,8,Intel,Others,1,,512,42990.0
110,ASUS,Windows,Others,16,Intel,Others,1,,512,89990.0
111,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,38705.0
112,MSI,Windows,DDR4,8,AMD,AMD,1,15.6,512,79990.0
113,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,1024,70990.0
114,Lenovo,Windows,DDR4,8,Intel,Others,1,,256,33900.0
115,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,196990.0
116,Others,Windows,DDR4,8,Intel,Intel,1,14.0,512,59990.0
117,Infinix,Windows,Others,16,Intel,Others,1,,512,52990.0
118,APPLE,Mac,DDR4,16,Others,Others,1,14.0,512,124990.0
119,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,85990.0
120,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,256,31990.0
121,acer,Windows,DDR4,16,AMD,AMD,1,,512,66990.0
122,DELL,Windows,DDR4,16,AMD,NVIDIA,1,15.6,512,89081.0
123,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,256,36990.0
124,APPLE,Mac,DDR4,8,Others,Others,1,14.0,512,104990.0
125,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,512,53490.0
126,ASUS,Windows,Others,8,Intel,Others,1,,256,45990.0
127,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,512,39990.0
128,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,512,45990.0
129,MSI,Windows,DDR4,8,Intel,Others,2,15.6,512,51990.0
